# no_center;attribut_1;attribut_2;attribut_3
0;564.2599998552322;640.7846933308832;725.0419218513299
1;207.3811948224894;139.06538110702505;179.4169967980549
2;229.57181135868132;673.7821165250642;819.3960849739638
3;783.010788409367;512.3241808823522;869.2830220489278
4;197.82928515091803;520.6587737276415;151.95830652576726
5;645.7936531157393;208.31821193901746;343.35427252859506
6;996.3388215710606;949.2189287828111;329.2883848492544
7;519.0501715183997;466.0691117832034;363.3053016148039
8;664.0349638704367;26.23221925340524;139.51363484048528
